birthday,wanted_annualpay,annualpay
45,400,200
23,350,200
47,250,200
36,300,200
24,200,200
43,600,200
49,200,200
27,300,200
40,350,200
42,400,200
25,450,200
25,250,200
33,250,200
26,400,200
47,350,200
40,200,200
48,400,200
43,250,200
44,300,200
49,500,200
42,200,200
50,350,200
32,350,200
33,250,200
28,200,200
29,350,200
28,300,200
32,200,200
22,250,200
39,250,200
27,200,200
29,200,200
31,350,200
29,200,200
51,500,200
49,200,200
30,250,200
42,200,200
29,300,200
44,200,200
24,200,200
25,200,200
27,300,200
37,250,200
28,200,200
30,300,200
55,250,200
43,250,200
24,300,200
37,900,200
40,300,200
35,200,200
26,200,200
37,250,200
33,250,200
26,200,200
48,200,200
49,250,200
34,300,200
24,200,200
50,200,200
21,250,200
23,300,200
47,200,200
41,200,200
27,300,200
38,250,200
31,200,200
28,550,200
24,300,200
23,300,200
25,250,200
47,200,200
22,400,200
28,250,200
24,200,200
28,300,200
26,300,200
24,300,200
27,350,200
36,200,200
35,250,200
24,200,200
31,350,200
35,250,200
26,300,200
41,250,200
25,650,200
22,400,200
42,400,200
34,350,200
44,200,200
37,300,200
36,200,200
28,250,200
54,250,200
41,200,200
40,350,200
26,350,200
33,500,200
20,250,200
45,250,200
62,250,200
20,300,200
28,350,200
39,400,200
38,400,200
49,200,200
23,250,200
56,250,200
40,450,200
28,300,200
25,250,200
23,250,200
22,250,200
31,400,200
44,200,200
38,250,200
36,300,200
25,250,200
44,250,200
37,350,200
41,300,200
40,300,200
37,200,200
30,350,200
46,250,200
43,300,200
28,250,200
32,200,200
45,250,200
35,300,200
25,300,200
48,400,200
23,300,200
27,250,200
53,250,200
36,350,200
38,200,200
34,250,200
29,350,200
47,250,200
25,300,200
39,200,200
43,200,200
54,400,200
27,200,200
28,200,200
28,250,200
29,250,200
27,200,200
22,350,200
38,350,200
26,400,200
34,350,200
29,250,200
51,250,200
31,250,200
45,300,200
34,650,200
39,250,200
35,400,200
26,250,200
26,400,200
23,350,200
20,250,200
60,400,200
36,300,200
35,250,200
31,250,200
37,400,200
46,250,200
23,200,200
23,350,200
54,400,200
43,200,200
52,200,200
35,300,200
25,300,200
42,450,200
51,450,200
28,300,200
38,250,200
31,350,200
32,300,200
22,300,200
34,250,200
36,250,200
37,300,200
44,300,200
48,300,200
26,300,200
22,300,200
40,300,200
22,650,200
21,250,200
39,250,200
35,250,200
42,250,200
40,400,200
54,300,200
51,300,200
45,400,200
28,300,200
52,450,200
29,300,200
34,350,200
38,200,200
27,350,200
44,350,200
23,250,200
27,400,200
40,200,200
26,350,200
33,300,200
36,400,200
48,250,200
45,250,200
48,200,200
30,500,200
39,250,200
45,250,200
48,200,200
31,250,200
25,250,200
36,350,200
29,300,200
23,400,200
27,300,200
32,350,200
44,400,200
35,200,200
48,300,200
25,250,200
34,300,200
39,250,200
48,200,200
47,250,200
34,200,200
48,200,200
28,200,200
29,350,200
26,300,200
21,200,200
43,400,200
43,250,200
24,350,200
28,300,200
48,200,200
48,250,200
22,250,200
41,250,200
25,450,200
39,400,200
39,350,200
46,200,200
39,400,200
36,250,200
48,200,200
25,200,200
38,500,200
44,300,200
50,200,200
37,200,200
46,200,200
24,200,200
36,300,200
23,850,200
30,500,200
33,250,200
30,300,200
29,250,200
43,300,200
45,550,200
30,450,200
21,250,200
23,650,200
47,250,200
32,300,200
52,600,200
42,200,200
67,250,200
49,250,200
26,500,200
40,600,200
22,250,200
29,300,200
33,250,200
48,300,200
28,550,200
46,500,200
31,250,200
27,650,200
40,250,200
34,300,200
22,250,200
29,200,200
46,600,200
35,650,200
31,300,200
29,200,200
20,300,200
29,300,200
49,350,200
44,350,200
24,250,200
30,250,200
38,500,200
29,300,200
42,250,200
41,550,200
42,350,200
37,350,200
45,200,200
26,350,200
33,300,200
28,350,200
25,350,200
26,200,200
32,250,200
33,200,200
34,300,200
37,250,200
37,300,200
32,250,200
23,650,200
41,250,200
47,200,200
47,500,200
27,250,200
41,250,200
22,200,200
32,350,200
48,450,200
32,200,200
47,350,200
30,300,200
28,350,200
32,350,200
23,200,200
35,300,200
21,350,200
47,250,200
25,300,200
28,350,200
25,300,200
34,350,200
26,300,200
33,500,200
40,450,200
34,250,200
24,200,200
24,250,200
26,200,200
42,200,200
35,600,200
27,300,200
40,300,200
28,250,200
28,250,200
25,250,200
40,250,200
39,300,200
34,300,200
42,350,200
39,450,200
28,350,200
37,450,200
27,350,200
48,300,200
50,650,200
46,400,200
47,200,200
39,300,200
24,250,200
41,200,200
42,250,200
38,200,200
48,400,200
29,400,200
46,200,200
36,200,200
39,250,200
22,300,200
46,200,200
30,500,200
49,200,200
