,birthday,annualpay,gender,education_type,wanted_annualpay,sort,annualpay
0,43.0,250.0,0.0,2.0,450.0,1.0,400.0
1,45.0,800.0,0.0,4.0,650.0,1.0,600.0
2,50.0,250.0,1.0,2.0,350.0,1.0,300.0
3,30.0,200.0,1.0,2.0,250.0,1.0,200.0
4,45.0,400.0,0.0,2.0,500.0,1.0,500.0
5,36.0,450.0,0.0,2.0,350.0,1.0,300.0
6,46.0,250.0,1.0,6.0,300.0,1.0,200.0
7,46.0,450.0,0.0,6.0,500.0,1.0,500.0
8,48.0,600.0,0.0,6.0,650.0,1.0,600.0
9,26.0,400.0,1.0,6.0,350.0,1.0,300.0
10,43.0,450.0,0.0,6.0,450.0,1.0,400.0
11,41.0,200.0,1.0,3.0,250.0,1.0,200.0
12,54.0,200.0,0.0,6.0,250.0,1.0,200.0
13,45.0,450.0,1.0,4.0,450.0,1.0,400.0
14,44.0,750.0,0.0,6.0,650.0,1.0,600.0
15,62.0,200.0,0.0,1.0,250.0,1.0,200.0
16,24.0,200.0,0.0,2.0,300.0,1.0,200.0
17,24.0,300.0,0.0,4.0,400.0,1.0,300.0
18,41.0,200.0,1.0,2.0,200.0,1.0,200.0
19,39.0,500.0,0.0,6.0,500.0,1.0,500.0
20,24.0,250.0,0.0,6.0,250.0,1.0,200.0
21,40.0,200.0,1.0,3.0,300.0,1.0,200.0
22,41.0,350.0,0.0,4.0,400.0,1.0,400.0
23,35.0,250.0,1.0,6.0,350.0,1.0,300.0
24,53.0,200.0,0.0,2.0,250.0,1.0,200.0
25,26.0,300.0,1.0,6.0,300.0,1.0,250.0
26,26.0,250.0,0.0,6.0,300.0,1.0,200.0
27,51.0,350.0,0.0,4.0,400.0,1.0,400.0
28,37.0,200.0,0.0,4.0,400.0,1.0,400.0
29,35.0,300.0,0.0,6.0,350.0,1.0,300.0
30,41.0,400.0,0.0,3.0,450.0,1.0,400.0
31,49.0,600.0,0.0,2.0,450.0,1.0,400.0
32,50.0,550.0,0.0,6.0,450.0,1.0,400.0
33,40.0,300.0,0.0,4.0,250.0,1.0,200.0
34,44.0,800.0,0.0,2.0,750.0,1.0,800.0
35,30.0,250.0,0.0,2.0,400.0,1.0,250.0
36,42.0,300.0,1.0,4.0,300.0,1.0,200.0
37,40.0,200.0,1.0,6.0,200.0,1.0,200.0
38,42.0,700.0,0.0,7.0,650.0,1.0,650.0
39,36.0,200.0,1.0,3.0,350.0,1.0,200.0
40,44.0,500.0,0.0,6.0,350.0,1.0,300.0
