,birthday,wanted_annualpay,annualpay
0,24.0,200.0,200.0
1,37.0,200.0,200.0
2,45.0,200.0,200.0
3,32.0,200.0,200.0
4,27.0,200.0,200.0
5,39.0,200.0,200.0
6,44.0,200.0,200.0
7,23.0,200.0,200.0
8,45.0,200.0,200.0
9,41.0,200.0,200.0
10,48.0,200.0,200.0
11,33.0,200.0,250.0
12,37.0,200.0,200.0
13,26.0,200.0,200.0
14,46.0,200.0,200.0
15,40.0,200.0,200.0
16,48.0,200.0,200.0
17,48.0,200.0,200.0
18,22.0,200.0,200.0
19,34.0,200.0,200.0
20,25.0,200.0,200.0
21,43.0,200.0,200.0
22,32.0,200.0,200.0
23,23.0,200.0,200.0
24,29.0,200.0,200.0
25,33.0,200.0,200.0
26,39.0,200.0,200.0
27,39.0,200.0,200.0
28,43.0,200.0,200.0
29,43.0,200.0,200.0
30,30.0,200.0,200.0
31,22.0,200.0,200.0
32,44.0,200.0,200.0
33,38.0,200.0,200.0
34,23.0,200.0,200.0
35,41.0,200.0,200.0
36,26.0,200.0,200.0
37,48.0,200.0,200.0
38,40.0,200.0,200.0
39,48.0,200.0,200.0
40,37.0,200.0,200.0
41,41.0,200.0,200.0
42,25.0,200.0,200.0
43,38.0,200.0,200.0
44,21.0,200.0,200.0
45,46.0,200.0,200.0
46,25.0,200.0,200.0
47,46.0,200.0,200.0
48,61.0,200.0,200.0
49,35.0,200.0,200.0
50,39.0,200.0,200.0
51,48.0,200.0,200.0
52,41.0,200.0,200.0
53,37.0,200.0,200.0
54,40.0,200.0,200.0
55,21.0,200.0,200.0
56,49.0,200.0,200.0
57,49.0,200.0,200.0
58,37.0,200.0,200.0
59,20.0,200.0,200.0
60,25.0,200.0,200.0
61,49.0,200.0,200.0
62,36.0,200.0,200.0
63,30.0,200.0,200.0
64,27.0,200.0,200.0
65,40.0,200.0,200.0
66,20.0,200.0,200.0
67,36.0,200.0,200.0
68,22.0,200.0,200.0
69,25.0,200.0,200.0
70,47.0,200.0,200.0
71,44.0,200.0,200.0
72,47.0,200.0,200.0
73,48.0,200.0,200.0
74,38.0,200.0,200.0
75,47.0,200.0,200.0
76,46.0,200.0,200.0
77,45.0,200.0,200.0
78,36.0,200.0,200.0
79,23.0,200.0,200.0
80,44.0,200.0,200.0
81,40.0,250.0,250.0
82,26.0,250.0,200.0
83,37.0,250.0,200.0
84,37.0,250.0,200.0
85,28.0,250.0,200.0
86,29.0,250.0,200.0
87,31.0,250.0,200.0
88,30.0,250.0,200.0
89,26.0,250.0,200.0
90,29.0,250.0,250.0
91,37.0,250.0,200.0
92,48.0,250.0,200.0
93,37.0,250.0,200.0
94,26.0,250.0,200.0
95,24.0,250.0,200.0
96,26.0,250.0,200.0
97,28.0,250.0,200.0
98,22.0,250.0,200.0
99,33.0,250.0,200.0
100,25.0,250.0,200.0
101,39.0,250.0,250.0
102,46.0,250.0,200.0
